origin,destination,estimated_driving_km,travel_time (highways only, 100km/hr )
Nijmegen,Maastricht,128.8,77.3
Leeuwarden,Delft,197.1,118.3
Leeuwarden,Amsterdam,132.7,79.6
Leeuwarden,Rotterdam,201.3,120.8
Leeuwarden,The Hague,193.6,116.2
Leeuwarden,Utrecht,158.0,94.8
Leeuwarden,Eindhoven,236.3,141.8
Leeuwarden,Tilburg,227.0,136.2
Leeuwarden,Almere,121.4,72.8
Leeuwarden,Groningen,61.3,36.8
Leeuwarden,Breda,233.1,139.9
Leeuwarden,Nijmegen,185.3,111.2
Leeuwarden,Leeuwarden,0.0,0.0
Leeuwarden,Maastricht,313.7,188.2
Maastricht,Delft,190.5,114.3
Maastricht,Amsterdam,212.6,127.6
Maastricht,Rotterdam,175.2,105.1
Maastricht,The Hague,199.5,119.7
Maastricht,Utrecht,172.0,103.2
Maastricht,Eindhoven,80.9,48.5
Maastricht,Tilburg,106.5,63.9
Maastricht,Almere,203.2,121.9
Maastricht,Groningen,324.0,194.4
Maastricht,Breda,123.3,74.0
Maastricht,Nijmegen,128.8,77.3
Maastricht,Leeuwarden,313.7,188.2
Maastricht,Maastricht,0.0,0.0
