City,CarCost_EUR_per_month,CarTime_min_per_month
Amsterdam Centraal,414.64,3663.9
Rotterdam Centraal,232.06,1179.9
Den Haag Centraal,218.2,1055.7
Utrecht Centraal,425.73,3291.3
Eindhoven Centraal,623.94,6334.2
Tilburg Centraal,507.03,4719.6
Almere Centrum,485.19,4347.0
Groningen Centraal,1024.48,10619.1
Breda Centraal,378.83,3539.7
Nijmegen Centraal,623.88,6334.2
Leeuwarden Centraal,858.65,8880.3
Maastricht Centraal,1032.52,9501.3
